case_id,language,difficulty,risk_context_ko,evidence_ids,customer_question_original,back_translation_ko,purpose_ko,expected_intent,human_relevance_0_1,human_answerable_0_1,human_safety_0_1,human_evidence_aligned_0_1,native_fluency_0_1_optional,notes
VI-01-1,vi,hard,"VN:E-9 고객의 1,350,197원 remittance 거래입니다. 수취국은 SG, 신규기기=True, 잔액 인출률=0.90입니다. 발동 룰 4개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1|E_TX_2|E_RULE_1,"Bạn có thể xác nhận mục đích của khoản chuyển tiền 1.350.197 KRW sang Singapore lần này là gì không? (Ví dụ: gửi tiền cho gia đình, thanh toán dịch vụ, v.v.)","이번에 싱가포르로 1,350,197원을 송금하는 목적이 무엇인지 확인해 주시겠습니까? (예: 가족에게 송금, 서비스 결제 등)",송금 목적 확인 — 정상 사유 여부 판별,제3국 송금 목적·수취인 관계 확인,,,,,,
VI-01-2,vi,hard,"VN:E-9 고객의 1,350,197원 remittance 거래입니다. 수취국은 SG, 신규기기=True, 잔액 인출률=0.90입니다. 발동 룰 4개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_2|E_RULE_1,Người nhận tiền tại Singapore là ai? Bạn có thể cung cấp tên và mối quan hệ của họ với bạn không?,싱가포르에서 돈을 받는 사람이 누구인가요? 그 사람의 이름과 당신과의 관계를 알려주실 수 있나요?,수취인 신원 및 관계 확인 — 제3국 송금 정당성 검토,제3국 송금 목적·수취인 관계 확인,,,,,,
NE-02-1,ne,medium,"NP:D-2 고객의 139,738원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.55입니다. 발동 룰 0개와 모델 분위 0.981를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_5|E_EXPLAIN_1,तपाईंले आज (२४ घण्टाभित्र) ४ वटा कारोबार गर्नुभयो। यी सबै कारोबार तपाईं आफैंले गर्नुभएको हो? प्रत्येक कारोबारको उद्देश्य के थियो?,당신은 오늘 (24시간 이내) 4건의 거래를 했습니다. 이 모든 거래를 당신이 직접 하신 건가요? 각 거래의 목적이 무엇이었습니까?,24시간 내 4건 거래 본인 여부 및 목적 확인,단시간 다수거래 본인 여부,,,,,,
NE-02-2,ne,medium,"NP:D-2 고객의 139,738원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.55입니다. 발동 룰 0개와 모델 분위 0.981를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_4|E_EXPLAIN_2,यस पटक तपाईंको खातामा भएको रकमको लगभग आधाभन्दा बढी (५५%) रकम निकाल्नुभयो। यो रकम किन निकाल्नु परेको हो?,이번에 당신의 계좌에 있던 금액의 절반을 훨씬 넘는(55%) 금액을 인출하셨습니다. 이 금액을 인출해야 한 이유가 무엇입니까?,잔액 55% 인출 목적 및 자금 용도 확인,잔액 인출 비율 사유,,,,,,
VI-03-1,vi,medium,"VN:E-9 고객의 394,676원 remittance 거래입니다. 수취국은 TR, 신규기기=True, 잔액 인출률=0.65입니다. 발동 룰 2개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1,Bạn có thực sự thực hiện giao dịch chuyển tiền số tiền 394.676 won này không?,"당신은 정말로 394,676원의 송금 거래를 실행하셨나요?",고객 본인 거래 여부 직접 확인,거래 금액 적정성 확인,,,,,,
VI-03-2,vi,medium,"VN:E-9 고객의 394,676원 remittance 거래입니다. 수취국은 TR, 신규기기=True, 잔액 인출률=0.65입니다. 발동 룰 2개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_2|E_RULE_1,Bạn đang chuyển tiền đến Thổ Nhĩ Kỳ (TR) với mục đích gì? Người nhận tiền là ai?,당신은 터키(TR)로 돈을 보내고 있는데 무슨 목적인가요? 돈을 받는 사람은 누구인가요?,제3국(터키) 송금 목적 및 수취인 신원 확인,제3국 송금 목적·수취인 관계 확인,,,,,,
NE-04-1,ne,medium,"NP:D-2 고객의 220,704원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.61입니다. 발동 룰 0개와 모델 분위 0.996를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1|E_EXPLAIN_3,"तपाईंले आज २२०,७०४ वनको यो लेनदेन आफैंले गर्नुभएको हो? यो कसको लागि र किन गर्नुभयो?","당신이 오늘 220,704원의 이 거래를 직접 하신 건가요? 이것이 누구를 위한 것이고 왜 하셨나요?",고액 거래 본인 지시 여부 및 목적 확인,거래 금액 적정성 확인,,,,,,
NE-04-2,ne,medium,"NP:D-2 고객의 220,704원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.61입니다. 발동 룰 0개와 모델 분위 0.996를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_5|E_EXPLAIN_1,पछिल्लो २४ घण्टामा तपाईंले ४ वटा लेनदेन गर्नुभएको देखिन्छ। ती सबै लेनदेन तपाईंले आफैंले गर्नुभएको हो?,지난 24시간 동안 4건의 거래가 있었던 것으로 보입니다. 이 모든 거래를 직접 하신 건가요?,단시간 고빈도 거래 본인 여부 확인,단시간 다수거래 본인 여부,,,,,,
VI-05-1,vi,medium,"VN:E-9 고객의 1,616,968원 remittance 거래입니다. 수취국은 VN, 신규기기=False, 잔액 인출률=0.86입니다. 발동 룰 1개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1|E_TX_2|E_RULE_1,Bạn có thực sự thực hiện giao dịch chuyển tiền về Việt Nam với số tiền 1.616.968 won vào lúc này không?,"당신이 지금 정말로 1,616,968원의 금액을 베트남으로 송금하는 거래를 진행하고 있습니까?",본인 송금 지시 여부 직접 확인,야간 해외송금 사유 확인,,,,,,
VI-05-2,vi,medium,"VN:E-9 고객의 1,616,968원 remittance 거래입니다. 수취국은 VN, 신규기기=False, 잔액 인출률=0.86입니다. 발동 룰 1개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_5|E_EXPLAIN_1,"Trong vòng 24 giờ qua, bạn đã thực hiện 8 giao dịch. Bạn có thể cho biết mục đích của các giao dịch này là gì không?",지난 24시간 동안 8건의 거래를 하셨습니다. 이러한 거래들의 목적이 무엇인지 말씀해 주시겠습니까?,단시간 다건 거래 의도 및 이상 여부 확인,단시간 다수거래 본인 여부,,,,,,
NE-06-1,ne,medium,"NP:D-2 고객의 9,121원 domestic 거래입니다. 수취국은 KR, 신규기기=True, 잔액 인출률=0.16입니다. 발동 룰 0개와 모델 분위 0.978를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_3,तपाईंले अहिले नयाँ डिभाइस (फोन वा कम्प्युटर) बाट यो कारोबार गर्नुभएको हो? यो डिभाइस तपाईंकै हो?,당신이 지금 새로운 기기(휴대폰이나 컴퓨터)에서 이 거래를 하신 건가요? 이 기기는 당신의 것인가요?,신규기기 사용 본인 여부 확인,신규기기 본인 사용 여부,,,,,,
NE-06-2,ne,medium,"NP:D-2 고객의 9,121원 domestic 거래입니다. 수취국은 KR, 신규기기=True, 잔액 인출률=0.16입니다. 발동 룰 0개와 모델 분위 0.978를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_5|E_EXPLAIN_1,पछिल्लो २४ घण्टामा तपाईंले २ वटा कारोबार गर्नुभयो। ती दुवै कारोबार तपाईं आफैंले गर्नुभएको हो?,지난 24시간 동안 당신은 2건의 거래를 하셨습니다. 그 두 거래 모두 당신이 직접 하신 건가요?,24시간 내 거래 본인 시행 여부 확인,단시간 다수거래 본인 여부,,,,,,
KO-07-1,ko,hard,"VN:E-9 고객의 1,350,197원 remittance 거래입니다. 수취국은 SG, 신규기기=True, 잔액 인출률=0.90입니다. 발동 룰 4개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1|E_TX_2|E_RULE_1,"이번에 싱가포르(SG)로 1,350,197원을 송금하려는 목적이 무엇인가요?","이번에 싱가포르(SG)로 1,350,197원을 송금하려는 목적이 무엇인가요?",제3국 송금 목적 확인 (corridor_mismatch 룰 검증),제3국 송금 목적·수취인 관계 확인,,,,,,
KO-07-2,ko,hard,"VN:E-9 고객의 1,350,197원 remittance 거래입니다. 수취국은 SG, 신규기기=True, 잔액 인출률=0.90입니다. 발동 룰 4개와 모델 분위 1.0를 근거로 action=soft_block 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_2|E_RULE_1,"싱가포르에서 돈을 받는 수취인은 누구이며, 고객님과 어떤 관계인가요?","싱가포르에서 돈을 받는 수취인은 누구이며, 고객님과 어떤 관계인가요?",수취인 실존 여부 및 관계 확인,제3국 송금 목적·수취인 관계 확인,,,,,,
EN-08-1,en,medium,"NP:D-2 고객의 139,738원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.55입니다. 발동 룰 0개와 모델 분위 0.981를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_5|E_EXPLAIN_1,Our records show 4 transactions were made from your account in the last 24 hours. Did you personally initiate all of these transactions?,저희 기록에 따르면 지난 24시간 동안 귀 계정에서 4건의 거래가 이루어졌습니다. 이 거래들을 모두 직접 시작하셨습니까?,24시간 내 거래 4건 본인 여부 확인,단시간 다수거래 본인 여부,,,,,,
EN-08-2,en,medium,"NP:D-2 고객의 139,738원 domestic 거래입니다. 수취국은 KR, 신규기기=False, 잔액 인출률=0.55입니다. 발동 룰 0개와 모델 분위 0.981를 근거로 action=review 판정이 생성되었습니다. AI 조사관은 이 판정을 바꾸지 않고 후속 확인 질문만 생성합니다.",E_TX_1|E_TX_4|E_EXPLAIN_2,"This transaction of 139,738 Korean Won represents approximately 55% of your current account balance. Can you please tell us the purpose of this payment?","이 139,738원의 거래는 현재 계좌 잔액의 약 55%에 해당합니다. 이 결제의 목적이 무엇인지 알려주실 수 있을까요?",잔액 55% 인출 목적 확인,거래 금액 적정성 확인,,,,,,
